method,seed,step,room,room_name,action,external_reward,prediction_error,learning_progress,empowerment,utility,tau,boredom,mode_shift,epsilon,action_entropy,shaped_reward
aed,0,14,0,noisy_tv,0,0.0,0.8461538461538461,0.005640003574744923,0.0,0.005640003574744923,0.2821595933801632,4.017454204408955,0.0,0.05,0.15405767236812593,0.005640003574744923
aed,0,15,0,noisy_tv,0,0.0,0.7857142857142857,0.008379981417985682,0.0,0.008379981417985682,0.2810406953203523,4.249940376267232,0.0,0.05,0.15405767236812593,0.008379981417985682
aed,0,16,0,noisy_tv,0,0.0,0.8666666666666667,0.003913363299467454,0.0,0.003913363299467454,0.2799050586602479,4.4834326678653404,0.0,0.05,0.15405767236812593,0.003913363299467454
aed,0,17,0,noisy_tv,0,0.0,0.8125,0.0064260284678273605,0.0,0.0064260284678273605,0.2787876635092858,4.710959976228145,0.0,0.05,0.15405767236812593,0.0064260284678273605
aed,0,18,0,noisy_tv,2,0.0,1.0,-0.0032702729555640353,0.0,-0.0032702729555640353,0.2776437251917394,4.944764374613167,0.0,0.05,0.15405767236812593,-0.0032702729555640353
aed,0,19,0,noisy_tv,0,0.0,0.8823529411764706,0.0027755936333906384,0.0,0.0027755936333906384,0.27651938453394764,5.169060521767593,0.0,0.05,0.15405767236812593,0.0027755936333906384
aed,0,20,0,noisy_tv,0,0.0,0.9444444444444444,-0.00046776121167757534,0.0,-0.00046776121167757534,0.27538678761127794,5.393224465372873,0.0,0.05,0.15405767236812593,-0.00046776121167757534
aed,0,21,0,noisy_tv,0,0.0,0.7894736842105263,0.007304164860602258,0.0,0.007304164860602258,0.27429637449752453,5.606284430356066,0.0,0.05,0.15405767236812593,0.007304164860602258
aed,0,22,0,noisy_tv,0,0.0,0.85,0.00391264082809839,0.0,0.00391264082809839,0.2731944558291774,5.819503401053584,0.0,0.05,0.15405767236812593,0.00391264082809839
aed,0,23,0,noisy_tv,0,0.0,1.0,-0.003782991213306497,0.0,-0.003782991213306497,0.2720784835500315,6.037169841806386,0.0,0.05,0.15405767236812593,-0.003782991213306497
aed,0,24,0,noisy_tv,0,0.0,0.9090909090909091,0.0009516128928133138,0.0,0.0009516128928133138,0.2709728491967454,6.246819379692254,0.0,0.05,0.15405767236812593,0.0009516128928133138
aed,0,25,0,noisy_tv,0,0.0,0.8260869565217391,0.005054229876631178,0.0,0.005054229876631178,0.26989325610014486,6.449190212118845,0.0,0.05,0.15405767236812593,0.005054229876631178
aed,0,26,0,noisy_tv,0,0.0,0.8333333333333334,0.00443919954221994,0.0,0.00443919954221994,0.2688159858173553,6.649075096272791,0.0,0.05,0.15405767236812593,0.00443919954221994
aed,0,27,0,noisy_tv,0,0.0,0.88,0.0018839062317755895,0.0,0.0018839062317755895,0.26773132541942735,6.848431764497715,0.0,0.05,0.15405767236812593,0.0018839062317755895
aed,0,28,0,noisy_tv,0,0.0,0.8076923076923077,0.005405095535571447,0.0,0.005405095535571447,0.2666696942700081,7.041212045587174,0.0,0.05,0.15405767236812593,0.005405095535571447
aed,0,29,0,noisy_tv,0,0.0,0.8518518518518519,0.002926863550815728,0.0,0.002926863550815728,0.2656009801164121,7.233474041696898,0.0,0.05,0.15405767236812593,0.002926863550815728
aed,0,30,0,noisy_tv,0,0.0,0.9642857142857143,-0.002841172748418219,0.0,-0.002841172748418219,0.26452297521583,7.428503449244177,0.0,0.05,0.15405767236812593,-0.002841172748418219
aed,0,31,0,noisy_tv,0,0.0,0.8275862068965517,0.004135861258460771,0.0,0.004135861258460771,0.2634710396460432,7.613553593139318,0.0,0.05,0.15405767236812593,0.004135861258460771
aed,0,32,0,noisy_tv,0,0.0,0.8333333333333334,0.003641711873698661,0.0,0.003641711873698661,0.26242189300718144,7.7961982383414075,0.0,0.05,0.15405767236812593,0.003641711873698661
aed,0,33,0,noisy_tv,0,0.0,0.8064516129032258,0.004803712301519103,0.0,0.004803712301519103,0.26138380210365314,7.974816345760128,0.0,0.05,0.15405767236812593,0.004803712301519103
aed,0,34,0,noisy_tv,0,0.0,0.84375,0.00269860733160443,0.0,0.00269860733160443,0.2603403761297929,8.152709951100714,0.0,0.05,0.15405767236812593,0.00269860733160443
aed,0,35,0,noisy_tv,0,0.0,0.7878787878787878,0.005357237571084861,0.0,0.005357237571084861,0.2593154604369993,8.325141074455622,0.0,0.05,0.15405767236812593,0.005357237571084861
aed,0,36,0,noisy_tv,0,0.0,0.9117647058823529,-0.0011049202076476305,0.0,-0.0011049202076476305,0.25826888313481433,8.50126346705353,0.0,0.05,0.15405767236812593,-0.0011049202076476305
aed,0,37,0,noisy_tv,0,0.0,0.9714285714285714,-0.004032867474576207,0.0,-0.004032867474576207,0.2572275387191403,8.677511238576711,0.0,0.05,0.15405767236812593,-0.004032867474576207
aed,0,38,0,noisy_tv,0,0.0,0.9444444444444444,-0.0024820177516410302,0.0,-0.0024820177516410302,0.25619140102554455,8.849409544968129,0.0,0.05,0.15405767236812593,-0.0024820177516410302
aed,0,39,0,noisy_tv,0,0.0,0.9189189189189189,-0.0010816405877827062,0.0,-0.0010816405877827062,0.2551604440204168,9.017157534126648,0.0,0.05,0.15405767236812593,-0.0010816405877827062
aed,0,40,0,noisy_tv,0,0.0,0.7894736842105263,0.005444703177026056,0.0,0.005444703177026056,0.2541618653161999,9.175703120924556,0.0,0.05,0.15405767236812593,0.005444703177026056
aed,0,41,0,noisy_tv,0,0.0,0.7692307692307692,0.006184613767162617,0.0,0.006184613767162617,0.2531719790584547,9.330933455006601,0.0,0.05,0.15405767236812593,0.006184613767162617
aed,0,42,0,noisy_tv,0,0.0,0.75,0.006836921540342988,0.0,0.006836921540342988,0.25219030377086415,9.482977502687056,0.0,0.05,0.15405767236812593,0.006836921540342988
aed,0,43,0,noisy_tv,0,0.0,0.7317073170731707,0.007409709609667248,0.0,0.007409709609667248,0.25121640080005814,9.631954418850578,0.0,0.05,0.15405767236812593,0.007409709609667248
aed,0,44,0,noisy_tv,0,0.0,0.8571428571428572,0.0007674471256995385,0.0,0.0007674471256995385,0.25021415603168634,9.78508158356806,0.0,0.05,0.15405767236812593,0.0007674471256995385
aed,0,45,0,noisy_tv,0,0.0,0.8604651162790697,0.0005629618126039571,0.0,0.0005629618126039571,0.25,9.936667805919775,0.0,0.05,0.15405767236812593,0.0005629618126039571
aed,0,46,0,noisy_tv,0,0.0,0.8409090909090909,0.001512614990472727,0.0,0.001512614990472727,0.25,10.085788512870105,1.0,0.05,0.15405767236812593,0.001512614990472727
aed,0,47,0,noisy_tv,0,0.0,0.9111111111111111,-0.002073116769151895,0.0,-0.002073116769151895,0.25,10.237003744510556,0.0,0.65,0.8962174859400186,-0.002073116769151895
aed,0,48,0,noisy_tv,0,0.0,0.8478260869565217,0.0011947902770351737,0.0,0.0011947902770351737,0.25,10.383438916788416,0.0,0.65,0.8962174859400186,0.0011947902770351737
aed,0,49,0,noisy_tv,2,0.0,1.0,-0.006473644888990493,0.0,-0.006473644888990493,0.25,10.536078172509521,0.0,0.65,0.8962174859400186,-0.006473644888990493
aed,0,50,0,noisy_tv,2,0.0,1.0,-0.0061499626445410405,0.007070457429817966,0.004455723500185908,0.25,10.67626166728424,0.0,0.65,0.8962174859400186,0.004455723500185908
aed,0,51,1,puzzle,1,0.0,1.0,-0.005842464512313961,0.0,-0.005842464512313961,0.25,10.825341515123712,0.0,0.65,0.8962174859400186,-0.005842464512313961
aed,0,52,1,puzzle,0,1.0,1.0,-0.00555034128669829,0.0,-0.00555034128669829,0.25,10.972638441259173,0.0,0.65,0.8962174859400186,0.9944496587133017
aed,0,53,1,puzzle,0,1.0,1.0,-0.005272824222363304,0.0,-0.005272824222363304,0.25,11.118184881068943,0.0,0.65,0.8962174859400186,0.9947271757776367
aed,0,54,1,puzzle,2,1.0,1.0,-0.0050091830112452,0.0,-0.0050091830112452,0.25,11.262012215269499,0.0,0.65,0.8962174859400186,0.9949908169887548
aed,0,55,1,puzzle,0,1.0,1.0,-0.0047587238606828786,0.0,-0.0047587238606828786,0.25,11.404150816977486,0.0,0.65,0.8962174859400186,0.9952412761393171
aed,0,56,1,puzzle,2,1.0,1.0,-0.00452078766764874,0.0,-0.00452078766764874,0.25,11.544630096475359,0.0,0.65,0.8962174859400186,0.9954792123323513
aed,0,57,1,puzzle,0,1.0,1.0,-0.004294748284266348,0.0,-0.004294748284266348,0.25,11.683478543794871,0.0,0.65,0.8962174859400186,0.9957052517157337
aed,0,58,1,puzzle,2,1.0,1.0,-0.004080010870053052,0.6393262397777592,0.9549093487965857,0.25,11.566643758356923,0.0,0.65,0.8962174859400186,1.9549093487965856
aed,0,59,1,puzzle,2,1.0,0.0,0.04612398967344966,0.7381571770614979,1.1533597552656962,0.25,11.450977320773355,0.0,0.65,0.8962174859400186,2.1533597552656962
aed,0,60,1,puzzle,2,1.0,0.0,0.04381779018977716,0.7777126306328691,1.2103867361390808,0.25133717124870697,11.33646754756562,0.0,0.65,0.8962174859400186,2.210386736139081
aed,0,61,2,mastered,1,0.0,1.0,-0.008373099319711752,0.5790672408693669,0.8602277619843386,0.2546316242023851,11.223102872089964,0.0,0.65,0.8962174859400186,0.8602277619843386
aed,0,62,1,puzzle,0,0.0,1.0,-0.007954444353726164,0.0,-0.007954444353726164,0.2536084660813732,11.372434753804164,0.0,0.65,0.8962174859400186,-0.007954444353726164
aed,0,63,1,puzzle,2,1.0,0.0,0.04244327786396018,0.615782086664988,0.9661164078614423,0.25742100579027355,11.258710406266122,0.0,0.65,0.8962174859400186,1.9661164078614424
aed,0,64,2,mastered,1,0.0,0.0,0.04032111397076221,0.7010418350245028,1.0918838665075163,0.26184332009385974,11.14612330220346,0.0,0.65,0.8962174859400186,1.0918838665075163
aed,0,65,2,mastered,2,0.0,1.0,-0.011694941727775965,0.6393262397777592,0.9472944179388628,0.2655205755830848,11.034662069181426,0.0,0.65,0.8962174859400186,0.9472944179388628
