method,n_seeds,occ_0_mean,occ_0_std,occ_0_ci95_low,occ_0_ci95_high,occ_1_mean,occ_1_std,occ_1_ci95_low,occ_1_ci95_high,occ_2_mean,occ_2_std,occ_2_ci95_low,occ_2_ci95_high,escape_time_mean,escape_time_std,escape_time_ci95_low,escape_time_ci95_high,first_puzzle_contact_mean,first_puzzle_contact_std,first_puzzle_contact_ci95_low,first_puzzle_contact_ci95_high,mode_shifts_mean,mode_shifts_std,mode_shifts_ci95_low,mode_shifts_ci95_high,external_reward_mean,external_reward_std,external_reward_ci95_low,external_reward_ci95_high
aed,20,0.012400000000000001,0.008211815763194822,0.008801013060019245,0.015998986939980756,0.9652500000000002,0.022486090567411854,0.955395036296838,0.9751049637031624,0.022349999999999995,0.019404429168234483,0.013845633953788601,0.03085436604621139,38.2,24.63544728958447,27.403039180057736,48.996960819942274,38.2,24.63544728958447,27.403039180057736,48.996960819942274,0.75,0.4442616583193193,0.5552937435114386,0.9447062564885614,2843.05,69.85509437776399,2812.434655037745,2873.6653449622554
curiosity,20,0.5624833333333333,0.34431495637175935,0.4115806503023762,0.7133860163642904,0.43745,0.3442209489498082,0.28658851753827386,0.5883114824617262,6.666666666666667e-05,0.00023195079131281982,-3.499024974815856e-05,0.0001683235830814919,1688.2,1032.610519126416,1235.6384862505895,2140.7615137494104,1688.2,1032.610519126416,1235.6384862505895,2140.7615137494104,0.0,0.0,0.0,0.0,1311.4,1032.0467859651774,859.0855532018509,1763.7144467981493
extrinsic,20,0.13028333333333333,0.0924531982121177,0.08976393268918012,0.17080273397748655,0.8684166666666666,0.09258691980673212,0.8278386599496924,0.9089946733836408,0.0013000000000000002,0.000591360805548678,0.001040824699754568,0.0015591753002454323,391.85,277.3595946363531,270.2917980675404,513.4082019324596,391.85,277.3595946363531,270.2917980675404,513.4082019324596,0.0,0.0,0.0,0.0,2600.35,278.1726603161576,2478.435456322018,2722.2645436779817
